Publication,Articles_published_by_UIUC_faculty
Reference Services Review,19
Library Trends,16
College & Research Libraries,15
portal: Libraries and the Academy,14
Science & Technology Libraries,14
Collection Management,13
Library Hi Tech,13
Cataloging & Classification Quarterly,12
Journal of Academic Librarianship,11
Reference & User Services Quarterly,11
"Library Collections, Acquisitions, & Technical Services",11
Journal of Library Administration,11
Research Strategies,9
The Reference Librarian,8
Information Technology and Libraries,8
"Reference and Information Services: An Introduction, 3rd ed.,",8
Bulletin d'informations proustiennes,7
Library Resources & Technical Services,7
Internet Reference Services Quarterly,7
Science and Technology Libraries,7
Journal of eScience Librarianship,6
Public Services Quarterly,6
Behavioral & Social Sciences Librarian,6
Journal of Library Metadata,6
American Archivist,6
"Library Collections, Acquisitions, and Technical Services",6
Libraries & Culture,6
Library Resources and Technical Services,5
Law Library Journal,5
D-Lib Magazine,5
Communications in Information Literacy,5
Technical Services Quarterly,5
Slavic & East European Information Resources,5
Illinois Libraries,5
IFLA Journal,4
Journal of Education for Library and Information Science,4
Creating Sustainable Community: The Proceedings of the ACRL 2015 Conference,4
The Journal of Academic Librarianship,4
Music Reference Services Quarterly,4
College & Undergraduate Libraries,4
Issues in Science and Technology Librarianship,4
Reference and User Services Quarterly,4
Journal of Archival Organization,4
Library Journal,4
Slavic and East European Information Resources,4
The Serials Librarian,4
"Information Practice in Science and Technology: Evolving Challenges and New Directions,",4
Proceedings of ACRL 2017.,3
Library & Information History,3
Serials Review,3
Code4Lib Journal,3
Library Management,3
Journal of the Medical Library Association,3
Bulletin d'Informations Proustiennes,3
Difficult Decisions: Closing and Merging Academic Libraries,3
Collection Building,3
Library & Archival Security,3
Against the Grain,3
Interlending & Document Supply,3
Reference and Information Services: An Introduction (Library and Information Science Text Series),3
Notes,3
"Social Science Libraries: Interdisciplinary Collections, Services, Networks",3
Library History,3
Information Literacy Instruction Handbook,3
Journal of Business & Finance Librarianship,3
College and Research Libraries,3
Digital Information Resources and Networks on India.,3
First Monday,3
Journal of the American Society for Information Science and Technology,3
